Term,Category Code,Category Name,Tweet,Example Tweet Tokens,Example Tweet Tags
babies'll,C01,Children's well being and education,"RT @esashamartinez: @saabmagalona Napadala na raw Red Cross sa UERM, as tweeted by @doblezeta of @MMDA. Babies'll be safe. #yay #RescuePH","RT @esashamartinez : @saabmagalona Napadala na raw Red Cross sa UERM , as tweeted by @doblezeta of @MMDA . Babies'll be safe . #yay #RescuePH","~ @ ~ @ ^ ^ A A N G ^ , P V P @ P @ , N V A , # #"
baby,C01,Children's well being and education,#rescuePH @mmda @ANCALERTS @ABSCBNNews @gmanews @Awesomesaucex3 INDIVIDUAL WITH A 3 MONTH OLD BABY IS IN NEED (cont) http://t.co/KQo90VOW,#rescuePH @mmda @ANCALERTS @ABSCBNNews @gmanews @Awesomesaucex3 INDIVIDUAL WITH A 3 MONTH OLD BABY IS IN NEED ( cont ) http://t.co/KQo90VOW,"# @ @ @ @ @ A P D $ N A N V P ^ , ~ , U"
baby born in tent,C01,Children's well being and education,RT @BBCWorld: Baby born in tent after mother treks through Philippines quake rubble http://t.co/IcElmALzVE &amp; http://t.co/LO2Q43BA7D,RT @BBCWorld : Baby born in tent after mother treks through Philippines quake rubble http://t.co/IcElmALzVE & http://t.co/LO2Q43BA7D,~ @ ~ N V P N P N V P ^ ^ ^ U & U
baby needs milk,C01,Children's well being and education,"RT @niqueeyg: FRANCIS PELAYO;Bl5 lt6 eissenhower st,mcarthur vill, longos,malolos,bulacan. Baby needs milk.Flood is chest deep. #RescuePH","RT @niqueeyg : FRANCIS PELAYO ; Bl5 lt6 eissenhower st , mcarthur vill , longos , malolos , bulacan . Baby needs milk . Flood is chest deep . #RescuePH","~ @ ~ ^ ^ , ^ ^ ^ ^ , ^ ^ , ^ , ^ , ^ , N V N , ^ V N A , #"
can help children,C01,Children's well being and education,RT @eddieizzard: You can help children affected by Typhoon #Haiyan by texting UNICEF to 70123 to give £3,RT @eddieizzard : You can help children affected by Typhoon #Haiyan by texting UNICEF to 70123 to give £3,~ @ ~ O V V N V P ^ ^ P V ^ P $ P V $
cancelled due,C01,Children's well being and education,Final exams are cancelled due to the flooding! The only good thing it brought :D bless Calgary hallelujah 😎,Final exams are cancelled due to the flooding ! The only good thing it brought :D bless Calgary hallelujah 😎,"A N V V A P D N , D R A N O V E V ^ ! !"
cancelled due to strong winds,C01,Children's well being and education,RT @abcwidebay: Sunshine Coast Airport has been closed today. All flights in and out are cancelled due to strong winds #QLD #bigwet,RT @abcwidebay : Sunshine Coast Airport has been closed today . All flights in and out are cancelled due to strong winds #QLD #bigwet,"~ @ ~ ^ ^ ^ V V V N , D N P & P V V A P A N # #"
children,C01,Children's well being and education,@UNICEF . Children suffering from epidemics of communicable infectious diseases in flood hit areas of Pakistan.,@UNICEF . Children suffering from epidemics of communicable infectious diseases in flood hit areas of Pakistan .,"@ , N V P N P ^ A N P N V N P ^ ,"
classes are caneled because of,C01,Children's well being and education,Afternoon classes are caneled because of Typhoon Pablo..,Afternoon classes are caneled because of Typhoon Pablo ..,"N N V V P P ^ ^ ,"
classes are suspended,C01,Children's well being and education,typhoon PABLO is now hitting us... classes are suspended :D,typhoon PABLO is now hitting us ... classes are suspended :D,"^ ^ V R V O , N V V E"
collapse families search trucks hauling debris,C01,Children's well being and education,RT @HuffingtonPost: Bangladesh factory collapse families search trucks hauling debris for uncounted dead http://t.co/OtZHvuEMGi,RT @HuffingtonPost : Bangladesh factory collapse families search trucks hauling debris for uncounted dead http://t.co/OtZHvuEMGi,~ @ ~ ^ N N N N N V N P A A U
colleges,C01,Children's well being and education,Colorado colleges pick up the pieces after flooding http://t.co/I9NedJfUiD,Colorado colleges pick up the pieces after flooding http://t.co/I9NedJfUiD,^ N V T D N P V U
displaced families,C01,Children's well being and education,"#HighParkFire #OwlsNestProject Displaced families need basic, household items. https://t.co/oDiyp3yJ @TMHRealEstate Please join our efforts","#HighParkFire #OwlsNestProject Displaced families need basic , household items . https://t.co/oDiyp3yJ @TMHRealEstate Please join our efforts","# # V N V A , N N , U @ V V D N"
donate to #highparkfire families,C01,Children's well being and education,RT @COEmergency: Want to donate to #HighParkFire families? Go to http://t.co/lo57JOy8,RT @COEmergency : Want to donate to #HighParkFire families ? Go to http://t.co/lo57JOy8,"~ @ ~ V P V P ^ N , V P U"
families hit by #floods,C01,Children's well being and education,CWS providing emergency food packages to families hit by #floods in #Pakistan http://t.co/M0NkYU6d01,CWS providing emergency food packages to families hit by #floods in #Pakistan http://t.co/M0NkYU6d01,^ V N N N P N V P N P ^ U
families hit by typhoon,C01,Children's well being and education,RT @xtina: Let’s help families hit by typhoon #haiyan. My friends @WFP are on the ground. Help here http://t.co/ozsD1Qetvu. Thank you! XoXt...,RT @xtina : Let’s help families hit by typhoon #haiyan . My friends @WFP are on the ground . Help here http://t.co/ozsD1Qetvu . Thank you ! XoXt ...,"~ @ ~ L V N V P ^ # , D N @ V P D N , V R U , V O , G ,"
families/friends,C01,Children's well being and education,RT @GabrielMacht: Sending love to the victims and their families/friends that were affected by the explosion at the Boston Marathon. Ble ...,RT @GabrielMacht : Sending love to the victims and their families/friends that were affected by the explosion at the Boston Marathon . Ble ...,"~ @ ~ V N P D N & D N P V V P D N P D ^ N , G ~"
family center,C01,Children's well being and education,Newsday: Family center established for NYC train derailment  http://t.co/WFF6UIcu2d #nyc,Newsday : Family center established for NYC train derailment http://t.co/WFF6UIcu2d #nyc,"^ , N N V P ^ N N U #"
family killed,C01,Children's well being and education,"Mourners bury family killed in Guatemala quake: SAN CRISTOBAL CUCHO, Guatemala (Reuters) - Ivan Vasquez cried as... http://t.co/IaErS9kb","Mourners bury family killed in Guatemala quake : SAN CRISTOBAL CUCHO , Guatemala ( Reuters ) - Ivan Vasquez cried as ... http://t.co/IaErS9kb","N V N V P ^ N , ^ ^ ^ , ^ , ^ , , ^ ^ V P ~ U"
family needs rescue,C01,Children's well being and education,"RT @tineabesamisss: #rescuePH PLEASE RT!! Fellow speducator, Jaja Vagilia, and her family needs rescue!! #3 Sampaguita St. IVC Marikina  ...","RT @tineabesamisss : #rescuePH PLEASE RT !! Fellow speducator , Jaja Vagilia , and her family needs rescue !! #3 Sampaguita St. IVC Marikina ...","~ @ ~ # V V , N N , ! ^ , & D N V N , $ ^ ^ ^ ^ ,"
family receive emergency shelter kit,C01,Children's well being and education,RT @Habitat_org: “We can sleep soundly; the rain won’t bother us.” - Janeth Senabre &amp; family receive emergency shelter kit #Haiyan http://t...,RT @Habitat_org : “ We can sleep soundly ; the rain won’t bother us . ” - Janeth Senabre & family receive emergency shelter kit #Haiyan http://t ...,"~ @ ~ , O V V R , D N V V O , , , ^ ^ & N V N N N # U ,"
family reception,C01,Children's well being and education,"RT @policescotland: @GlasgowCC opens family reception centre at 40 John Street, G2 1DU assisting public #Clutha #PSHelicopter http://t.co/j...","RT @policescotland : @GlasgowCC opens family reception centre at 40 John Street , G2 1DU assisting public #Clutha #PSHelicopter http://t.co/j ...","~ @ ~ @ V N N N P $ ^ ^ , ^ $ V A # # U ,"
flood affected families,C01,Children's well being and education,@TheEllenShow PLEASE HELP THE #Queensland AUSTRALIA RED CROSS in the flood affected families especially in Bundaberg and Gympie!!! #redcross,@TheEllenShow PLEASE HELP THE #Queensland AUSTRALIA RED CROSS in the flood affected families especially in Bundaberg and Gympie !!! #redcross,"@ V V D ^ ^ A N P D N V N R P ^ & ^ , #"
haze clearing up right before school starts,C01,Children's well being and education,"RT @RandoCore: Being poly students, our luck has resulted in the haze clearing up right before school starts. Singapore fucks us over yet a...","RT @RandoCore : Being poly students , our luck has resulted in the haze clearing up right before school starts . Singapore fucks us over yet a ...","~ @ ~ V A N , D N V V P D N V T R P N V , ^ V O P R D ,"
help children recover from trauma,C01,Children's well being and education,Help children recover from trauma #Philippines Give $30 for 1 child and share for many more! http://t.co/CpFIVUwAcE #DT @operationSAFE,Help children recover from trauma #Philippines Give $30 for 1 child and share for many more ! http://t.co/CpFIVUwAcE #DT @operationSAFE,"V N V P N N V $ P $ N & V P A A , U # @"
hundreds of children,C01,Children's well being and education,"RT @9newsmelb: Housing burning, streets closed and schools with hundreds of children caught in the middle. - @DamoNews #NSWfires #9NEWSat6","RT @9newsmelb : Housing burning , streets closed and schools with hundreds of children caught in the middle . - @DamoNews #NSWfires #9NEWSat6","~ @ ~ N V , N V & N P N P N V P D N , , @ # #"
hundreds of families,C01,Children's well being and education,Homes at risk from Colorado wildfire: Hundreds of families took refuge early Monday at a northern Colorado ... http://t.co/OoYTzBfx #CNN,Homes at risk from Colorado wildfire : Hundreds of families took refuge early Monday at a northern Colorado ... http://t.co/OoYTzBfx #CNN,"N P N P ^ N , N P N V N A ^ P D A ^ , U #"
hungry children,C01,Children's well being and education,RT @tweetnirizal: Think of the hungry children of Bohol begging for food when you post your dinner on Instagram. #Bohol,RT @tweetnirizal : Think of the hungry children of Bohol begging for food when you post your dinner on Instagram . #Bohol,"~ @ ~ V P D A N P ^ V P N R O V D N P ^ , #"
injured are children,C01,Children's well being and education,RT @cnnbrk: Injuries in #Boston Marathon terror attack now at 183; 23 critical; at least 9 of the injured are children. http://t.co/9YZV ...,RT @cnnbrk : Injuries in #Boston Marathon terror attack now at 183 ; 23 critical ; at least 9 of the injured are children . http://t.co/9YZV ...,"~ @ ~ N P ^ ^ N N R P $ , $ A , P A $ P D A V N , U ~"
kids,C01,Children's well being and education,"PAKIS RAPE KIDS: New earthquake shakes Guatemala's Pacific coast, one injured: GUATEMALA CITY... http://t.co/57Zltga2 #edl #bnp #bfp #nf","PAKIS RAPE KIDS : New earthquake shakes Guatemala's Pacific coast , one injured : GUATEMALA CITY ... http://t.co/57Zltga2 #edl #bnp #bfp #nf","^ ^ ^ , A N V Z ^ N , $ V , ^ N , U # # # #"
kids displaced,C01,Children's well being and education,RT @wfrisch: Going to be rough week on kids displaced from homes. Maybe movie theaters want to host some free kids movies? #yycfloods,RT @wfrisch : Going to be rough week on kids displaced from homes . Maybe movie theaters want to host some free kids movies ? #yycfloods,"~ @ ~ V P V A N P N V P N , R N N V P V D A N N , #"
kids lessons,C01,Children's well being and education,RT @cnalive: Flood teaches stranded kids lessons in faith http://t.co/nr8YWyYfss #COflood #Denver #Catholic #Faith,RT @cnalive : Flood teaches stranded kids lessons in faith http://t.co/nr8YWyYfss #COflood #Denver #Catholic #Faith,~ @ ~ ^ V V N N P N U # # # #
kids movies,C01,Children's well being and education,RT @wfrisch: Going to be rough week on kids displaced from homes. Maybe movie theaters want to host some free kids movies? #yycfloods,RT @wfrisch : Going to be rough week on kids displaced from homes . Maybe movie theaters want to host some free kids movies ? #yycfloods,"~ @ ~ V P V A N P N V P N , R N N V P V D A N N , #"
mayor emano declared no classes,C01,Children's well being and education,RT @vicmadz: #CDO Mayor Emano declared NO CLASSES AT ALL LEVELS this aft (Dec. 3) &amp; whole day tom(Dec. 4) source: Magnum Radio (12:1 ...,RT @vicmadz : #CDO Mayor Emano declared NO CLASSES AT ALL LEVELS this aft ( Dec . 3 ) & whole day tom(Dec . 4 ) source : Magnum Radio ( 12:1 ...,"~ @ ~ ^ ^ ^ V D N P D N D A , ^ , $ , & A N ^ , $ , N , ^ ^ , G ~"
mayor rama declared no class tomorrow,C01,Children's well being and education,Mayor Rama declared no class tomorrow because of Typhoon Bopha (Pablo) #fb,Mayor Rama declared no class tomorrow because of Typhoon Bopha ( Pablo ) #fb,"^ ^ V D N N P P ^ ^ , ^ , #"
national high school,C01,Children's well being and education,"#RescuePH Wilma Ubando Payod w/ 3 kids Purok 3, Malanday, Marikina; their house is near the national high school. @gmanews","#RescuePH Wilma Ubando Payod w/ 3 kids Purok 3 , Malanday , Marikina ; their house is near the national high school . @gmanews","# ^ ^ ^ P $ N ^ $ , ^ , ^ , D N V P D N A N , @"
national high school #rescueph,C01,Children's well being and education,"“@servoie: Melyn Pabustan w/ 3 kids 09175119505 Purok 3, Malanday, Marikina; their house is near the national high school #rescuePH","“ @servoie : Melyn Pabustan w/ 3 kids 09175119505 Purok 3 , Malanday , Marikina ; their house is near the national high school #rescuePH",", @ ~ ^ ^ P $ N $ ^ $ , ^ , ^ , D N V P D N A N #"
need help asap w/ {Number} days old baby unit {Number} pine cluster,C01,Children's well being and education,"need help asap w/ 3 days old baby Unit 1 Pine Cluster St., Pineville Subd. Lawa Meycauayan Bulacan. 09166049812 #RescuePH @rescue5ph","need help asap w/ 3 days old baby Unit 1 Pine Cluster St. , Pineville Subd . Lawa Meycauayan Bulacan . 09166049812 #RescuePH @rescue5ph","V V R P $ N A N N $ ^ ^ ^ , ^ ^ , ^ ^ ^ , $ # @"
no class tomorrow,C01,Children's well being and education,No class tomorrow XD #PrayForVisayas,No class tomorrow XD #PrayForVisayas,D N N E #
no classes,C01,Children's well being and education,Mayor Rama announced no classes for both private and public schools until tomorrow. #cebu #earthquakePH | via @cebudailynews,Mayor Rama announced no classes for both private and public schools until tomorrow . #cebu #earthquakePH | via @cebudailynews,"^ ^ V D N P D A & A N P N , # # G P @"
no classes and office,C01,Children's well being and education,"RT @thecrusaderpub: No classes and office at Xavier University (XU) at all Levels tomorrow, December 5, 2012. #PabloPH #CDO","RT @thecrusaderpub : No classes and office at Xavier University ( XU ) at all Levels tomorrow , December 5 , 2012 . #PabloPH #CDO","~ @ ~ D N & N P ^ ^ , ^ , P D N N , ^ $ , $ , # #"
no classes for both private and public schools,C01,Children's well being and education,Mayor Rama announced no classes for both private and public schools until tomorrow. #cebu #earthquakePH | via @cebudailynews,Mayor Rama announced no classes for both private and public schools until tomorrow . #cebu #earthquakePH | via @cebudailynews,"^ ^ V D N P D A & A N P N , # # G P @"
no school,C01,Children's well being and education,Widespred flooding in alberta. No school,Widespred flooding in alberta . No school,"A V P ^ , D N"
nursery,C01,Children's well being and education,RT @TagaFEUKaKung: UERM really needs help!! Flood is almost at 3rd floor where the nursery is. No rescuers the whole day. #RescuePH,RT @TagaFEUKaKung : UERM really needs help !! Flood is almost at 3rd floor where the nursery is . No rescuers the whole day . #RescuePH,"~ @ ~ ^ R V V , ^ V R P A N R D N V , D N D A N , #"
private and public schools,C01,Children's well being and education,Mayor Rama announced no classes for both private and public schools until tomorrow. #cebu #earthquakePH | via @cebudailynews,Mayor Rama announced no classes for both private and public schools until tomorrow . #cebu #earthquakePH | via @cebudailynews,"^ ^ V D N P D A & A N P N , # # G P @"
public schools,C01,Children's well being and education,#Cebu Gov. Hilario Davide said all public schools in Cebu Province will also resume on Nov. 4. #earthquakePH | @cebudailynews,#Cebu Gov . Hilario Davide said all public schools in Cebu Province will also resume on Nov . 4 . #earthquakePH | @cebudailynews,"# ^ , ^ ^ V D A N P ^ N V R V P ^ , $ , # G @"
relief assistance to {Number} families,C01,Children's well being and education,"RT @WorldVisionPH: Help provide relief assistance to 8,000 families affected by Typhoon Pablo. Donate http://t.co/wGch2oNg PLS RT! http: ...","RT @WorldVisionPH : Help provide relief assistance to 8,000 families affected by Typhoon Pablo . Donate http://t.co/wGch2oNg PLS RT ! http : ...","~ @ ~ V V N N P $ N V P ^ ^ , V U V V , U ~ ~"
relief assistance to {Number} families affected,C01,Children's well being and education,"RT @WorldVisionPH: Help provide relief assistance to 8,000 families affected by Typhoon Pablo. Donate http://t.co/wGch2oNg PLS RT! http: ...","RT @WorldVisionPH : Help provide relief assistance to 8,000 families affected by Typhoon Pablo . Donate http://t.co/wGch2oNg PLS RT ! http : ...","~ @ ~ V V N N P $ N V P ^ ^ , V U V V , U ~ ~"
resume on nov. {Number},C01,Children's well being and education,#Cebu Gov. Hilario Davide said all public schools in Cebu Province will also resume on Nov. 4. #earthquakePH | @cebudailynews,#Cebu Gov . Hilario Davide said all public schools in Cebu Province will also resume on Nov . 4 . #earthquakePH | @cebudailynews,"# ^ , ^ ^ V D A N P ^ N V R V P ^ , $ , # G @"
school starts,C01,Children's well being and education,i wonder if queensland is going to have another one of those times where it floods for a whole week before school starts,i wonder if queensland is going to have another one of those times where it floods for a whole week before school starts,O V P ^ V V P V D $ P D N R O V P D A N P N V
schools,C01,Children's well being and education,Terrible news from the Philippines. 7.2 quake at 8am on a holiday. Timing perhaps lucky; schools and businesses not full.,Terrible news from the Philippines . 7.2 quake at 8am on a holiday . Timing perhaps lucky ; schools and businesses not full .,"A N P D N , $ N P $ P D N , N R A , N & N R A ,"
schools are closed,C01,Children's well being and education,RT @CstShaw: All #yyc schools are closed tomorrow and we are asking all people to avoid coming into the downtown core if possible. #yycflood,RT @CstShaw : All #yyc schools are closed tomorrow and we are asking all people to avoid coming into the downtown core if possible . #yycflood,"~ @ ~ D N N V A N & O V V D N P V V P D N N P A , #"
schools are now accepting donations,C01,Children's well being and education,"RT @MgaKasabihan: #ReliefPH: The following schools are NOW accepting donations: UA&amp;P, Ateneo, LSGH, DLSZ, UP, UST, Letran, DLSU, Ada ...","RT @MgaKasabihan : #ReliefPH : The following schools are NOW accepting donations : UA&P , Ateneo , LSGH , DLSZ , UP , UST , Letran , DLSU , Ada ...","~ @ ~ # , D N N V R V N , ^ , ^ , ^ , ^ , T , ^ , ^ , ^ , G ~"
schools extend class suspension until,C01,Children's well being and education,"RT @rapplerdotcom: LGUs, schools extend class suspension until Wednesday http://t.co/GJdolC0m #FloodsPH  #WeatherAlert #noclasses","RT @rapplerdotcom : LGUs , schools extend class suspension until Wednesday http://t.co/GJdolC0m #FloodsPH #WeatherAlert #noclasses","~ @ ~ ^ , N V N N P ^ U # # #"
schools football team,C01,Children's well being and education,RT @Ashleygroll: If you're talking shit about your own schools football team you need to shut the hell up. Good job today boys!! #Falcon ...,RT @Ashleygroll : If you're talking shit about your own schools football team you need to shut the hell up . Good job today boys !! #Falcon ...,"~ @ ~ P L V N P D A N N N O V P V D N T , A N N N , # ~"
search for family & friends,C01,Children's well being and education,"RT @RedCrossAU: Everyone affected by #qldfloods, let people know you’re safe: http://t.co/nkyNi0h6. Or search for family &amp; friends.  ...","RT @RedCrossAU : Everyone affected by #qldfloods , let people know you’re safe : http://t.co/nkyNi0h6 . Or search for family & friends . ...","~ @ ~ N V P ^ , V N V L A , U , & N P N & N , ~"
sem break,C01,Children's well being and education,RT @sunstarcebu: Students spend their sem break at Fuente Osmeña in #Cebu helping in relief ops for #RescueBohol. #BangonBohol http://t.co/...,RT @sunstarcebu : Students spend their sem break at Fuente Osmeña in #Cebu helping in relief ops for #RescueBohol . #BangonBohol http://t.co/ ...,"~ @ ~ N V D N V P ^ ^ P ^ V P N N P ^ , # U ,"
students,C01,Children's well being and education,"FOR THOSE STUDENTS IN #UST AREA WHO CAN'T BUY FOOD DUE TO THE FLOOD, PLEASE CONTACT 09066958133. SPREAD THE WORD. #RescuePH","FOR THOSE STUDENTS IN #UST AREA WHO CAN'T BUY FOOD DUE TO THE FLOOD , PLEASE CONTACT 09066958133 . SPREAD THE WORD . #RescuePH","P D N P ^ ^ O V V N P P D N , V V $ , V D N , #"
students now,C01,Children's well being and education,LOL!! This ==&gt; @DopestChiQa: Students now won't pass their exams with flying colors :-( #JKIAfire &lt;&lt; But bado kuna Wilson Airport.,LOL !! This ==> @DopestChiQa : Students now won't pass their exams with flying colors :-( #JKIAfire << But bado kuna Wilson Airport .,"! , O G @ ~ N R V V D N P V N E # ~ & G G ^ ^ ,"
students return,C01,Children's well being and education,"With homes shattered, students return to school in West, Texas: Residents have returned to a Texas town crater... http://t.co/aQnGK5FzyF","With homes shattered , students return to school in West , Texas : Residents have returned to a Texas town crater ... http://t.co/aQnGK5FzyF","P N V , N V P N P ^ , ^ , N V V P D ^ N N , U"
teachers,C01,Children's well being and education,RT @PrisonPlanet: Airport shooting: Arm the TSA! School shooting: Arm the teachers? Interesting which one the establishment pushes isn't it?,RT @PrisonPlanet : Airport shooting : Arm the TSA ! School shooting : Arm the teachers ? Interesting which one the establishment pushes isn't it ?,"~ @ ~ N N , N D ^ , N N , N D N , A D $ D N V V O ,"
the children,C01,Children's well being and education,RT @adsthegreat: @tugaff Pls buy gifts for the Children in Mindanao affected by Typhoon Pablo.,RT @adsthegreat : @tugaff Pls buy gifts for the Children in Mindanao affected by Typhoon Pablo .,"~ @ ~ @ V V N P D N P ^ V P ^ ^ ,"
the families,C01,Children's well being and education,RT @Riteishd: Shocked at d visuals of the floods in Uttarakhand. Prayers for the families who have lost their loved ones.,RT @Riteishd : Shocked at d visuals of the floods in Uttarakhand . Prayers for the families who have lost their loved ones .,"~ @ ~ V P ^ N P D N P ^ , N P D N O V V D V N ,"
the kids,C01,Children's well being and education,It's a good thing the kids are at home today. #earthquake #bacolod #philippines,It's a good thing the kids are at home today . #earthquake #bacolod #philippines,"L D A N D N V P N N , # # #"
the sandy hook kids,C01,Children's well being and education,"“@HopeForBoston: R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston 😪","“ @HopeForBoston : R.I.P. to the 8 year-old girl who died in Boston's explosions , while running for the Sandy Hook kids . #prayforboston 😪",", @ ~ ! P D $ A N O V P Z N , P V P D ^ ^ N , # E"
thousands of families,C01,Children's well being and education,"RT @Habitat_org: As thousands of families in the Philippines are without shelter, we still need your help with #Haiyan donations http://t.c...","RT @Habitat_org : As thousands of families in the Philippines are without shelter , we still need your help with #Haiyan donations http://t.c ...","~ @ ~ P N P N P D ^ V P N , O R V D N P ^ N U ,"
updated school closures list is available now,C01,Children's well being and education,RT @theqldpremier: UPDATE SCHOOL CLOSURES: An updated school closures list is available now at http://t.co/SJftSrAB - PT #bigwet,RT @theqldpremier : UPDATE SCHOOL CLOSURES : An updated school closures list is available now at http://t.co/SJftSrAB - PT #bigwet,"~ @ ~ N N N , D A N N N V A R P U , N #"
victim's families,C01,Children's well being and education,“@OneRepublic: Shootings at airports now????   We fly out of LAX more than any airport.  God help the victim's families.  This is insanity”,“ @OneRepublic : Shootings at airports now ???? We fly out of LAX more than any airport . God help the victim's families . This is insanity ”,", @ ~ N P N R , O V P P ^ A P D N , ^ V D S N , O V N ,"
victims and families of the #bostonmarathon tragedy,C01,Children's well being and education,@iiTalk_uDont: “@DrayaFace: God bless the victims and families of the #BostonMarathon tragedy.”,@iiTalk_uDont : “ @DrayaFace : God bless the victims and families of the #BostonMarathon tragedy . ”,"@ ~ , @ ~ ^ V D N & N P D ^ N , ,"
{Number} bags,C02,"Needs food, or able to provide food","[Admin] NFA releases 25,850 bags of rice for calamity victims, including 9,406 bags for Cebu and Bohol... http://t.co/vvv2kCHNFX #reliefPH","[ Admin ] NFA releases 25,850 bags of rice for calamity victims , including 9,406 bags for Cebu and Bohol ... http://t.co/vvv2kCHNFX #reliefPH",", N , ^ N $ N P N P N N , V $ N P ^ & ^ , U #"
{Number} bags of rice,C02,"Needs food, or able to provide food","[Admin] NFA releases 25,850 bags of rice for calamity victims, including 9,406 bags for Cebu and Bohol... http://t.co/vvv2kCHNFX #reliefPH","[ Admin ] NFA releases 25,850 bags of rice for calamity victims , including 9,406 bags for Cebu and Bohol ... http://t.co/vvv2kCHNFX #reliefPH",", N , ^ N $ N P N P N N , V $ N P ^ & ^ , U #"
#reliefph food packs,C02,"Needs food, or able to provide food","#reliefPH Food packs, water &amp; non-food items needed. In #Iligan, pls contact: @rmpnmr +63 223 5179 or BALSA #Mindanao #Lanao +63 222 6516","#reliefPH Food packs , water & non-food items needed . In #Iligan , pls contact : @rmpnmr +63 223 5179 or BALSA #Mindanao #Lanao +63 222 6516","# N N , N & A N V , P ^ , V V , @ $ $ $ & ^ ^ ^ $ $ $"
#reliefph needs food and water,C02,"Needs food, or able to provide food",#reliefPH needs food and water.,#reliefPH needs food and water .,"# V N & N ,"
